Country,Continent,Region,Government Type,Religion,Leader,Population,GDP PC,Area (km²),Area (sq mi),Max GDPPC Grow Rt,Adj GDPPC Growth,Pop Growth Rate,2040 Population,2040 GDP,2040 GDP PC,Actual GDP Growth,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
